Id,label
99098353,3
112826439,4
113324679,4
110083449,3
130612854,3
71853888,1
92586833,2
87802194,4
127830224,2
78377064,3
121459474,4
78519139,3
130610143,2
73784829,3
78376994,3
92570181,2
121433979,2
79254832,4
-1582718,3
72640426,1
127828614,1
110051047,2
99103633,1
82299039,1
110052205,2
127832505,2
92611172,3
112853859,1
92260207,2
113336101,3
99124274,4
72749688,4
86909039,1
87187446,4
76285231,4
67538501,2
88764568,3
76312473,2
129065871,2
99118609,4
101035693,4
67532241,2
78420494,1
101024259,1
76209401,4
71856440,3
100689314,4
72457838,2
75944099,1
129315626,2
45455122,1
92750605,4
92576570,1
87181489,1
92606866,1
86895620,2
73799311,3
110050058,3
110070635,3
92601810,2
76321683,1
73795097,2
78537105,4
76210391,1
76151244,2
67544212,2
75943687,1
73785078,3
68296427,2
86147967,2
130599194,2
78569937,2
76211476,2
78617988,2
79257112,4
76209415,1
129315380,4
101032184,3
110050077,1
132245832,2
127829485,2
110051229,1
101029986,4
129064757,4
110050810,2
129802544,2
92573579,3
129315301,2
92576039,3
92585057,4
112851479,3
101050681,4
88613578,4
109252707,2
110074996,1
76244724,4
67544472,4
76312026,4
78519731,3
87169838,2
82299992,1
79248547,2
78620725,1
101025333,2
78420887,1
79251642,1
129315987,4
73797204,1
110069358,1
76298678,2
69514055,3
101286455,2
101056178,4
79255012,3
101041372,4
86898313,2
101040359,2
78422553,1
73797891,3
99098904,2
92564338,2
79254904,4
76211294,1
73785023,2
76284677,4
75941451,1
130610294,1
73793092,4
87301685,1
72749298,1
92598006,2
130618940,1
92591666,3
69517525,4
77128901,2
101019856,1
69510836,3
73785372,2
83082784,4
130015945,4
76210182,2
76309991,3
100692585,1
75947877,2
74494270,3
73801286,2
73788042,2
101062410,4
129315285,2
101039533,4
79074404,1
113323272,4
67861200,2
73793733,1
101234332,3
92599890,3
112832625,2
72638745,2
83082264,1
88762966,3
99118541,3
53564001,3
121439289,2
129060179,1
92753473,4
101237449,1
76152883,2
78619581,1
101022497,2
78624907,4
99096559,3
78519177,3
99128169,4
75546817,4
78535318,3
101047125,3
87796778,2
92576938,4
92606980,3
75947900,4
99108049,3
87191289,3
88611828,4
101066162,4
101046194,1
129314269,1
78420645,4
79256980,2
110079164,2
72631999,4
73784990,1
92596539,3
121434040,4
129315686,4
73795978,3
46154237,3
106658797,4
79257255,4
92581943,2
79253083,4
76011460,3
101018444,2
101032958,4
101052919,2
113326087,4
88613402,4
92582813,4
79248718,1
101046555,4
87796474,3
121435384,4
64092616,2
98792097,2
78377000,3
130601854,4
76151973,2
73031992,2
101279218,3
82299673,1
101019753,4
78376562,3
130614671,1
99101317,3
101056895,1
130601427,2
127820932,4
73786180,2
76207598,4
121458929,2
101030309,1
78620205,1
78421213,3
73793058,2
73795172,4
88771791,4
92580903,1
73785268,2
127897156,2
92598101,4
82299801,1
99097328,1
110058044,2
78620316,1
72634513,4
78618018,3
129066217,3
87802052,2
72642197,3
129066135,4
69521692,4
127823122,4
87184515,3
110073239,3
101019846,2
110070353,2
99133670,3
121432018,3
101244320,2
75944149,3
99127426,4
79076472,1
99126752,2
75942456,2
99095691,1
99104203,4
101022943,1
73799316,4
78569803,1
101030028,1
99096333,2
92572742,3
101037161,4
92604462,1
79252562,4
110082731,1
86683583,1
72636609,3
101043765,4
101230241,4
76313362,4
112848964,3
112807755,3
71854189,4
72850133,4
101236877,1
76243636,1
78422148,4
99098172,2
101057395,1
76150939,1
92600273,1
112813058,2
76209475,1
76283766,2
88766119,3
73791968,1
92559672,1
99106783,2
76318876,3
92759243,2
130611016,3
99100236,4
101237159,1
92283451,2
92598825,1
113322572,2
101060394,2
78376889,2
75942953,4
101058595,4
73052347,4
92758200,3
89719546,4
99116463,4
110056658,1
92601303,4
76312550,4
79251488,4
99101618,2
72731947,1
99115507,3
76302131,3
101045403,1
121438849,2
109536055,3
101234107,3
67541201,2
72457394,4
76311035,4
112835085,3
101031730,3
78569484,1
92555847,3
76322037,3
87187179,2
78421327,2
72456487,4
92756196,1
79257348,1
113334742,3
75944588,2
92568005,4
101050232,2
110073173,4
113322636,4
121430652,4
101018202,2
121435695,4
92610546,2
78376763,3
92608690,4
112822679,3
69526011,3
76207848,3
76153266,1
87182029,3
101233208,3
75944157,1
73038219,4
130011801,1
92603632,2
127903623,4
121435279,2
101284338,2
100702381,3
72457210,1
99097779,3
99095510,3
110072724,2
68473483,4
121438657,4
101227888,2
92579942,3
101233239,3
124088044,3
130621318,4
78543317,3
110069502,2
78420668,1
63504056,2
73793513,1
132243944,2
78572046,4
78422558,3
101244148,2
101024899,4
92752240,2
101283772,1
78617973,1
69521956,2
129065801,1
77127595,1
45360588,3
101245355,3
92589132,3
72638697,4
111649628,4
129067513,2
130614197,1
69520202,2
78519459,4
123045699,3
76241991,1
92570163,2
127823511,2
76284029,2
64893964,3
124088294,2
92556196,3
69511280,2
45729183,3
73789367,2
101042232,1
78420490,4
78619472,1
87180331,3
92585879,4
78519373,3
77131962,4
112015925,1
82299372,1
92275902,2
101280665,3
121438581,2
101244025,1
99121411,3
78376665,3
78376807,4
64077168,4
73784741,2
76239833,1
129315419,2
69526138,1
78618084,1
101035078,1
79253202,4
92566588,1
101088121,4
73799447,1
101283088,1
101034105,2
78376528,3
87799223,3
112832366,2
78618236,1
99110680,3
75949795,1
109520102,3
92568882,1
92603694,1
101060801,3
124088110,1
101028144,3
73281165,3
78376747,3
130015544,1
79257027,4
101054756,1
87799831,4
76153315,1
127818687,2
78620186,4
122379126,2
101038743,1
99099654,3
92600445,4
113328527,3
73800234,1
72456238,4
129288009,4
76207135,1
110054635,3
68290983,2
99107133,4
124088347,2
79249435,2
130617396,1
92581241,3
99125918,3
78619718,3
130013729,1
78620241,1
92602131,2
72642403,1
97486297,2
76311080,2
101025220,2
82299130,1
101102551,4
76207909,1
79255535,2
88770349,3
78519705,1
76239675,2
76284570,4
110052758,2
73787573,3
101102308,1
101029304,3
129067360,1
82298564,2
101049820,4
78421261,1
129067630,2
64852311,2
78620696,1
78376563,4
110081885,1
101236182,3
92562256,3
101282923,3
92606630,2
101033106,2
87170248,4
92587350,4
110056288,1
87800841,1
101282709,3
79255307,1
112816574,3
92610498,1
87795534,4
79252401,4
101101613,1
72262654,2
112820410,2
92592930,2
78357087,2
127832879,4
99117112,2
98786876,2
88769870,3
82299114,1
72457303,1
109512304,3
110050335,3
78619050,1
76209184,2
78618688,2
71300016,3
99103124,3
113334476,3
87165911,4
73801328,3
73792125,2
129067666,1
97495203,4
105489157,4
109514490,2
78421244,1
76211617,1
78377241,3
69512125,2
92761621,3
82298302,4
101227080,4
112819595,1
79074222,1
97500078,4
113326793,3
78536869,1
79249855,1
110050726,1
64065588,4
130610632,1
69526304,3
99106802,1
73794218,3
109519266,3
76208142,1
113330103,4
76156589,1
73799104,1
63502907,3
99113515,3
82298479,4
129063965,2
79651301,2
72457380,3
78421525,1
99132595,2
76207191,2
101036975,1
68340562,4
69510614,1
92586152,3
99133687,1
87188780,3
75949276,2
73047090,2
101029654,3
71854327,3
99101589,1
78432972,1
92571582,4
101021584,2
110058133,4
73792484,1
101280969,1
64078658,3
129059726,1
99094929,3
45360587,4
101029367,2
101230204,2
101087552,4
64077435,3
101062490,1
122125361,1
73802012,1
79249863,1
92601168,2
